"Date","Price","Open","High","Low","Change %"
"May 17, 2022","29.5237","29.5437","29.5485","29.4000","-0.06%"
"May 16, 2022","29.5400","29.4000","29.5485","29.3987","0.00%"
"May 13, 2022","29.5400","29.5485","29.5485","29.3987","-0.01%"
"May 12, 2022","29.5420","29.4000","30.2710","29.3987","-2.34%"
"May 11, 2022","30.2500","29.4000","30.2500","29.4000","0.00%"
"May 10, 2022","30.2500","29.4000","30.2500","29.4000","0.00%"
"May 09, 2022","30.2500","29.4000","30.2500","29.4000","0.00%"
"May 06, 2022","30.2500","29.4000","30.2500","29.4000","0.00%"
"May 05, 2022","30.2500","29.4000","30.2500","29.4000","3.42%"
"May 04, 2022","29.2500","29.4000","29.4000","29.4000","0.00%"
"May 03, 2022","29.2500","29.4000","29.4000","29.4000","0.00%"
"May 02, 2022","29.2500","29.4000","29.4000","29.4000","-3.31%"
"Apr 29, 2022","30.2500","29.4000","30.2500","29.4000","0.00%"
"Apr 28, 2022","30.2500","29.4000","30.2500","29.4000","0.00%"
"Apr 27, 2022","30.2500","29.4000","30.2500","29.4000","0.00%"
"Apr 26, 2022","30.2500","29.4000","30.2500","29.4000","0.00%"
"Apr 25, 2022","30.2500","29.4000","30.2500","29.4000","0.00%"
"Apr 22, 2022","30.2500","29.4000","30.2500","29.4000","3.42%"
"Apr 21, 2022","29.2500","29.4000","29.4000","29.4000","-3.31%"
"Apr 20, 2022","30.2500","29.4000","30.2500","29.4000","2.54%"
"Apr 19, 2022","29.5000","29.4000","29.5250","29.4000","0.00%"
"Apr 18, 2022","29.5000","29.4000","29.5250","29.4000","0.85%"
"Apr 15, 2022","29.2500","29.5250","29.5250","29.4000","-0.85%"
"Apr 14, 2022","29.5000","29.4000","29.5250","29.4000","0.85%"
"Apr 13, 2022","29.2500","29.4000","29.4000","29.4000","-0.85%"
"Apr 12, 2022","29.5000","29.4000","29.5250","29.4000","0.00%"
"Apr 11, 2022","29.5000","29.4000","29.5250","29.4000","0.85%"
"Apr 08, 2022","29.2500","29.4000","29.4000","29.4000","0.00%"
"Apr 07, 2022","29.2500","29.4000","29.4000","29.4000","0.00%"
"Apr 06, 2022","29.2500","29.4000","29.5250","29.4000","0.00%"
"Apr 05, 2022","29.2500","29.4000","29.4000","29.4000","0.00%"
"Apr 04, 2022","29.2499","29.4000","29.9050","29.4000","-0.00%"
"Apr 01, 2022","29.2500","29.4000","29.4000","29.4000","-0.85%"
